# 2026-04-07 12.33(2)
検出言語: ja (確信度: 1.00)
音声時間: 1485.5秒

---

[00:00] STGアワーミジョンの発表です 森川大藤と決まり役者長お願いいたします
[00:18] ありがとうございます きどのメンバー
[00:21] グロイスマシンであり、ポラトンの提供アワーミンもなっていただきありがとうございます
[00:27] STGを支えていただく、東京スクの初め、パートナーの皆様
[00:31] 今日は、グロイスマシンのアワーミナーを集まりいただきありがとうございます
[00:36] 早速ですね、ちょっと10分をしてみて、前に来てくれているので
[00:39] ちょっと短めに、ちょっと説明していきます
[00:41] 始めに、ちょっと去年話したんですけど AIを使っていくってことで
[00:46] AIを使って15年間って、FTCのFoodとかを、まとめたものの動画でまとめたので
[00:52] ちょっと1回もご覧いただきたいんですけども 1.5倍速
[00:58] どうしてもね、クラブになっても寝ぶたくなるので
[01:01] ただね、僕、僕、これ前ちょっとぶっきりか特別に
[01:07] 社長と会長と一緒並んで、マイルに聞かされたんですけど
[01:10] たくに僕ちょっと寝てしまう
[01:12] まさかって会長にお前寝てたんですよ
[01:14] すごいショックで
[01:16] ただね、あの、その施法っても聞いてて
[01:18] もう一回聞きたいと思うんですけど
[01:21] まぁ、そこで教えられたのが大丈夫だった
[01:23] あの、耳で聞いてなくても
[01:25] 鼻で感じてるってことって
[01:27] 大丈夫だと思う
[01:29] ただ、皆さんね、寝てたいと思うけども
[01:31] よっしゃ!鼻で聞くぞという形で
[01:33] 寝ないで
[01:35] 誰にもちょっと見てもらえた
[01:37] ちょっと言ってお会いさせてお願いします
[02:00] 大表と一番逆感情
[02:03] ミスなアップアチュアル
[02:05] すでてる人目のことを宇宙規模で捉える
[02:10] CVを
[11:52] 全く数字の話が大変であるから
[11:54] 必要解決というものは
[11:56] 会社してないでやってるのに
[11:58] もし本当に数字のところだけで作ってくれれば
[12:00] 一応自由参加で
[12:02] 外国の方がオッケーとしますので
[12:04] そこで聞きに来てください
[12:06] で、ここで僕が話したいのは
[12:08] とにかく数字じゃなくて
[12:10] 僕が人の可能性
[12:12] ってところを一番伝えたい
[12:14] 会社が言いたいことというのは
[12:16] 一番皆さんって右に返った人の可能性で
[12:18] ワンクアップした人を作って
[12:20] 社会を作る人に僕らは効果している
[12:22] なので、とにかく個人のね
[12:24] というのはすごく大事
[12:26] この理念というのは皆さんという
[12:28] 中心にある角だと思ってもらえた
[12:32] 先に千葉さんが愛させていたとおり
[12:34] 真面目というのはね
[12:36] 悪くないですか、本当に真面目って
[12:38] 会社に言うことを聞いて
[12:40] やっぱり時代は自分で考えて動くような
[12:42] 人間が求められてし
[12:44] 会社もそういう人を育てて
[12:46] 思っているので、体勢を変えて
[12:48] 自分にして動くということを
[12:50] していただきたいと思います
[12:52] これは自分自身の理念がない限り
[12:54] やっぱり会社に全てを
[12:56] なぜしまうような形になってしまうので
[12:58] 基本的には自分主体で動けるような
[13:00] 組織を作っている
[13:02] なので僕は人生理念というのを
[13:04] 検証5、6年前から始めて
[13:06] ずっと理念、個人の理念というものを
[13:08] ずっと言い続けてきてて
[13:10] 来年もさらにずっと言い続けている
[13:12] 全員が乗ってるまで
[13:14] 言い続けようと思っている課題があっています
[13:16] これもすごく大事なんですけども
