# 2026-04-15 16.13
検出言語: ja (確信度: 1.00)
音声時間: 719.4秒

---

[00:14] 2人どんどん行くか
[00:17] こんにちは
[00:18] どうもこんにちは
[00:19] 久しぶり
[00:20] どうぞ
[00:21] どうもこんにちは
[00:23] 久しぶり
[00:27] 今日はよろしくお願いします
[00:29] 働いてます
[00:30] さっき2人さんに会ってきました
[00:32] 今日は初めての
[00:37] お店での定期面談ということで
[00:40] 仕事とか
[00:43] あと生活してて大丈夫かな
[00:46] 確認です
[00:49] で、米衣さん
[00:52] 自己紹介してください
[00:54] はい
[00:56] 僕、宮真子話せないので
[01:00] 川に話してくれます
[01:02] 実際に今働いて
[01:07] どうですか
[01:11] 大丈夫だよ、宮真子でも大丈夫だよ
[01:31] すごい
[01:38] 大丈夫だけど
[01:40] あ、なるほど
[01:42] すごい、今までそこまで見せてた
[01:44] すごいね
[01:47] いいわ
[02:07] すごいね
[02:11] で、でも働いてて
[02:14] 心配なこととか
[02:18] 不安なこととか
[02:20] ないですか
[02:21] みたいな
[02:23] 今のお店での定期面談
[02:27] でも定期面談
[02:29] あるんですか
[02:30] あるんですか
[02:32] 今のお店での定期面談
[02:35] 今のお店での定期面談
[02:38] 今のお店での定期面談
[02:41] で、意外に仕事がある
[02:44] 仕事がないです
[02:45] もし何か間違ったら
[02:47] 二人で仕事を言う
[02:49] そうなんだ
[02:55] ないこと
[03:00] 仕事がない
[03:02] だから今、仕事がいい
[03:04] 今のお店で仕事がいい
[03:06] 今の仕事がいい
[03:08] 今の仕事がいい
[03:16] 今の仕事がいい
[03:18] 2000本かとしたで
[03:20] 仕事がいい
[03:22] あ、すごいね。またメンマーゴーわかんないかな。すごいわ。
[03:28] なるほどですね。
[03:30] え、今、両に住んでいたないですか?
[03:34] 両は普通に問題ない?
[03:37] 大丈夫?
[03:40] なんかやりづらいとか、わからないこととか、家で。
[03:45] そういうのないですか?
[03:48] そう。
[03:53] こういうもんね。
[03:55] 駅と、家。
[03:59] えっと、あそこはね、近くに、
[04:03] イオン。
[04:05] イオン。
[04:06] イオンに居るんだな。
[04:08] 中古だったら、ネット、インターネット。
[04:12] 1万円ぐらいかな。
[04:24] いや、何もない。売らないよね。
[04:28] 普通に行っておかない。
[04:30] そう。
[04:31] そう。
[04:32] いや、何ものなくなんой。売らないよね。
[04:37] はい、普通に行っておかない。
[05:02] 自転車
[05:27] 長頃
[05:33] 自転車
[05:45] 駅まで長い
[05:49] 駅まで25分くらい歩くと
[05:54] 新宿で山手線
[05:59] 自転車があるといい
[06:03] きょう9両日
[06:07] そうだよね
[06:11] 早かったほうがいい
[06:15] あとは
[06:18] 困ってること?
[06:21] ありますか?
[06:36] 自転車は
[06:39] 第三回目に
[06:53] 仕事してて楽しい
[06:56] 大変
[06:59] あと
[07:00] 難い
[07:03] どんな感じで仕事してて感想
[07:10] 彼女は何をしているの?
[07:17] 彼女は私を知りません
[07:22] 彼女は私を知りません
[07:25] 彼女は私を知りません
[07:29] 私は彼女の子に彼女を知っている
[07:34] 心配性を強くして MEMEを知っています
[07:38] そうだね。まだ慣れない部分もあると思うけども、ただ長く働けば絶対に大丈夫だね。
[07:51] 初めはみんな間違えたりとかするけども。
[08:12] インターナメニューだな?
[08:15] インターナメニューだな。
[08:21] アメリカで好きなお勧めで。
[08:25] でも見るとインターナメニューだね。
[08:28] なるほど。
[08:30] うん。
[08:32] 今、何時には私が仕事をしているの?
[08:35] 今、私が仕事をしたの?
[08:38] 今の仕事をしているの。
[08:40] 今の仕事をしたの?
[08:52] 今の仕事をしているの?
[08:54] 今の仕事をしているの?
[08:56] シロと、ホール
[09:01] ホール、接客?
[09:03] あ、こう、片付けたりとか
[09:09] あ、ご案内したりとか、片付けたりとか
[09:12] 飲み物
[09:14] ポジューしたりとか
[09:16] なるほど
[09:18] ホールなんですね
[09:20] ホールを2人ともやってるんだ
[09:32] 忙しい?
[09:35] 忙しいんだ
[09:37] お客さん、たくさん
[09:43] 土日は上のやばい
[09:48] 上のは日本の中でも
[09:50] 観光客
[09:52] 外国の人
[09:54] たくさん中国とかアメリカとか
[09:56] たくさん来るから
[09:58] なるほど
[09:59] わかりました
[10:06] OK
[10:10] あとは大丈夫かな
[10:17] 休みは
[10:19] 週2日?
[10:23] 取れてる?
[10:32] あ、一回ここなんか
[10:34] ああ、手が大丈夫ですね
[10:39] ここは取れてます
[10:54] ああ、そうなんですね
[10:56] わかりました
[10:58] ちゃんと家帰ってゆっくり
[11:00] 寝れてます?
[11:02] ちょっと待って
[11:04] 大丈夫?
[11:06] OK
[11:09] わかりました
[11:13] 基本2人一緒に
[11:15] シフト?
[11:17] それとも別々?
[11:18] 別々なんだ
[11:20] わかりました
[11:22] よかったです
[11:24] 休みの日は何してるんですか?
[11:31] 買い物
[11:35] 時話題慣れました?
[11:37] 街
[11:38] 大丈夫?
[11:40] 大丈夫
[11:43] OK
[11:46] あと何か
[11:48] 失敗なこととか
[11:50] 手です
