# 録音_20260414_175957
検出言語: ja (確信度: 1.00)
音声時間: 1090.3秒

---

[00:00] ボートマカラさんから 自己紹介をお願いします
[00:11] マイクをオンにしてください マイク
[00:28] はいよろしくお願いします
[00:31] はい、いまいまして 本日お時間をいただきありがとうございます
[00:37] 私の名前はマカラと申します 今年は理由3歳です
[00:41] 彼氏から参りました 家族は4年が今と2人お姉さんと 私の趣味は料理を作ることです
[00:56] はいどうもありがとうございます
[00:59] ありがとうございます よろしくお願いします
[01:01] よろしくお願いします
[01:03] ではもう1人男性の方 ターバーバーランっていうのかな
[01:12] はい自己紹介をお願いします
[01:15] 念説にお聞かせていただきありがとうございます 初めまして鎌道出身のバランと申します
[01:21] 今年は理由3歳です 日本に来て3年間くらいです
[01:28] 今奈良県に住んでます どうぞよろしくお願い致します
[01:32] はいどうもありがとうございます バランさんですね
[01:37] はい バランさんは今国籍はどこでしたっけ
[01:45] 国籍国はどこですか カンボジア
[01:52] ありました では3人目
[01:57] ペンペンティアラさんかな
[02:03] ペンティアラさんすいませんカメラをおにしてください 残りの皆さん2人
[02:17] カメラが見えないですね 聞こえますか
[02:21] はいすいませんカメラをおにしてください 聞こえますか
[02:36] いないかもしですねじゃあもう1人8 ディッドさんなおかなディッドさん
[02:45] もういらっしゃらないのかなカメラの前 後の2人はもしかすると今いないかもしれないですね
[02:55] じゃあ先に8マカラさんと はい
[03:00] はいバンランさんでちょっとお二方ですね 話をつながったかな
[03:07] ディッドさん
[03:14] 私候補者じゃなくても通訳者をティッド申します
[03:19] 通訳の通訳のディッドさんですね はいはいそうですけどでえっと
[03:26] 今回の面接を行っているなんですけど 本当に1人さんも入ってるんですけど
[03:33] 多分時間間に合わないと思ってますよね そうですね
[03:42] 今3人3人しか来てないですね はいはいそうそうそう
[03:48] いやあのできればあの入ってるの方が 松にあのインタビューしてもらってあと多分
[03:55] あとの入ってるの方が待ってると思ってましたね わかりましたじゃあ先にマカラさんと
[04:01] バンランさんの ちょっとキャリングさせていただきますね
[04:09] はいえマカラさんは今どんな仕事をしてますか はい私
[04:16] 横道商店の仕事で働いております 運に作る仕事で
[04:25] なるほどですねえっと今回 仕事を
[04:31] 8別なやめる仕事をやめて別な仕事にしようと思ったのはどうしてですか あの
[04:40] 選職まで経験をしたいですから ああ
[04:46] 新しい経験をしたいです わかりました
[04:52] えっと今 日本語のレベルはいくつですか
[04:58] スケン スケン
[05:00] やってないです なるほどですねはい
[05:06] わかりました はいえっと
[05:11] 次の仕事どんな仕事をしたいですか 次の仕事肉の仕事をしたいです
[05:21] 肉の仕事はい やってみたい
[05:25] やってみたい はいどうして肉の仕事をやりたいですから
[05:33] 肉好きなんだ わかりましたはい
[05:39] はい えっと
[05:43] こちらの会社東京にあります はい
[05:48] 東京に来るのは大丈夫ですか いいです
[05:53] はい えっと
[05:55] 東京に来る時 えっと
[06:00] マカラーさんは1人で暮らす それとも会社の量どっちがいいですか
[06:08] 会社の良い通り暮らすですね なるほどですねわかりました
[06:15] えっとマカラーさんはない えっと
[06:21] 将来はい
[06:25] 何か夢やりたいことありますか あります
