# 録音_20260421_100131
検出言語: ja (確信度: 1.00)
音声時間: 119.7秒

---

[00:00] ございます 担々ミンさんですね
[00:04] はいそうです はいじゃあ担さんと呼ばせていただきますね
[00:08] ありがとうございますはい えっと 担さんはミャンマーの方ですか
[00:14] はいお国はビルマーです ニャンマーのということでございます
[00:17] あーなるほど えっとこの後ですねあのもう一人ちょっと女性の方が入ってきますので
[00:23] あの一緒にですねちょっと 勧めさせていただきますよろしくお願いします
[00:28] よろしくお願いいたします おはようございます
[00:53] おはようございますよろしくお願いします よろしくお願いいたします
[01:01] えっとそれはえっとおめいさんの方からあの色々 日上げの方がいい
[01:08] えっとそしたら伝線ですか それとミッセンと呼べばいいですか
[01:13] あの天さんと読んだらありがとうございます ありがとうございます
[01:20] はいまずは自己紹介お願いします はいおはようございます
[01:26] はじめまして 私の名前はダンタミッと申します
[01:33] ダンと読んでください 今年は25歳です
[01:37] ユンバーから来ました 今は今日とも
[01:41] 小山学とユーレストランに 会社この仕事で働いています
[01:47] 私一番好きなの日本料理は通信です それでもともとから自分が好きな料理を
[01:55] 自分で作れるということになりたいし あとは
