# 録音_20260422_100327
検出言語: ja (確信度: 1.00)
音声時間: 1101.3秒

---

[00:01] ちょっと待っててくださいね
[00:24] 999座長さんでいいですか
[00:30] はいありがとうございますはい99年もいいです99でも大丈夫ですか
[00:36] はい私あの可愛いと言いますよろしくお願いします
[00:42] はい
[00:44] しますはいえっと私たちがですね
[00:50] 外職レストランの会社の働く人を今探しています
[01:01] はいお願いしますはい
[01:07] えーとリレーションがあこれかな
[01:12] はいえっと99さんは今大阪なんですか
[01:21] はいそうですね今大阪から見えそうでいます
[01:24] なるほどですねわかりました今回は新しいお仕事を今探してるんですか
[01:33] はいそうです私も探しています
[01:41] わかりましたえっと99さんは今どんな仕事をしてますか
[01:51] いわゆるいざかやで働いています
[01:56] いざかやで働いてるんですねわかりました
[02:01] いざかやではどんな仕事を今してますか
[02:09] はい今いざかやだんだからブレンクをやったり
[02:15] 1ペンやったり1ペンの時は
[02:18] いよいよ仕込みから影響中までやっています
[02:23] 仕込みの時は野菜のカットしたりとか
[02:27] モーノを仕込んだりとか
[02:30] 肉仕込んだらそれもやっています
[02:34] 肉仕をさすものもやっています
[02:38] なるほどですねじゃあ基本的にはいざかやのキッチンをやってるんですか
[02:47] そうです
[02:49] おはようございます
[02:54] えっと99さんが
[02:57] 一応今日本で大阪のいざかやさんの方でキッチンをされていると
[03:05] 今仕事を探しているというところですね
[03:12] わかりました今回
[03:15] 私たち6次端カフェのG担当者から連絡をもらって
[03:23] 今代わりにちょっと面談をしています
[03:26] いざかやの仕込みです
[03:29] いざかやの仕込みをお願いします
[03:33] いざかやの仕込みです
[03:49] えっと
[03:50] でもしあの
[03:52] 今日99さんから聞いたお話をもとに
[03:55] カフェの担当者の方にちょっと連絡させていただいて
[04:00] カフェの担当者の方が面接したいということであればもう一回
[04:04] 企業の人と面接をしてもらいます
[04:08] 今回はカフェで働きたいんですか
[04:14] そうです今回カフェで働きたいです
[04:19] どうしてカフェやりたいなって思ったんですか
[04:25] 自分のケーキとコーヒーが好きで自分の興味があっている
[04:33] 仕事に自分のケーキのアポルシッタイです
[04:38] 自分は好きなケーキとコーヒー
[04:42] それをデースビリでやって
[04:45] 客様の適応自分のデースクールを適応したいからです
[04:53] なるほどですねわかりました
[04:55] 今回のカフェのお仕事が東京になるんですけれども
[05:02] 東京に引っ越すのは大丈夫ですか
[05:07] はい大丈夫です
[05:09] なるほど
[05:09] 今は大阪の東横川区に住んでいると思うんですけれども
[05:15] 今は一人で暮らしている
[05:20] 一人暮らしている
[05:22] そうなんですね会社の量ですか
[05:26] 会社の量です
[05:28] 会社の量なんですね
[05:31] 東京のカフェの会社は量がありません
[05:41] なので自分で家を契約しなければいけないんです
[05:50] 自分で家を契約するときにお金がかかりますけれども
[05:55] お金は大丈夫ですか
[05:59] はい大丈夫です
[06:01] わかりました
[06:03] 今回多分今大阪で1年以上たま働いてたと思うんですけれども
[06:16] なんで仕事をやめようって思ったんですか
[06:24] 今の仕事も大量ですけど
[06:27] もっと興味があっている仕事に行って
[06:31] 自分のケリアも掘るしたいからです
[06:35] 今働いている仕事で
[06:38] 仕事はちょっと時間は
[06:42] より遅いまで働いてないのも
